"Content ID","Content Type",Category,"Reaction Type",Score,agg_score
a861f7e7-b2f5-4d86-966c-7503c8faaeca,GIF,animals,"super love",75,74965
4b00c81e-66dd-45bd-9fb5-a9d2b37b62bf,photo,animals,love,65,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,love,65,74965
daeddfcc-c030-4674-8317-56a23ab81799,audio,animals,dislike,10,74965
596a3ffe-1e2a-4999-bf8d-c8f4a8974343,video,animals,intrigued,45,74965
c24f4499-faae-4ff0-baf1-4be6a9061aa1,audio,animals,peeking,35,74965
c24f4499-faae-4ff0-baf1-4be6a9061aa1,audio,animals,peeking,35,74965
c24f4499-faae-4ff0-baf1-4be6a9061aa1,audio,animals,disgust,0,74965
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,photo,animals,heart,60,74965
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,photo,animals,heart,60,74965
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,photo,animals,heart,60,74965
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,photo,animals,peeking,35,74965
4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,photo,animals,dislike,10,74965
fe06b730-b1f8-4f55-af1a-52487d8f1ec6,video,animals,hate,5,74965
fe06b730-b1f8-4f55-af1a-52487d8f1ec6,video,animals,hate,5,74965
df06cdab-afc8-4965-9b10-c270b0cafedf,photo,animals,hate,5,74965
596a3ffe-1e2a-4999-bf8d-c8f4a8974343,video,animals,like,50,74965
596a3ffe-1e2a-4999-bf8d-c8f4a8974343,video,animals,like,50,74965
84a81261-6334-4ba5-978d-26a45d28a44f,audio,animals,heart,60,74965
84a81261-6334-4ba5-978d-26a45d28a44f,audio,animals,peeking,35,74965
990ad477-b9eb-4ea6-9ec8-3f941f53b758,audio,animals,heart,60,74965
6ccf94b4-f549-4d17-a1d0-3bf7656bce81,video,animals,scared,15,74965
df06cdab-afc8-4965-9b10-c270b0cafedf,photo,animals,hate,5,74965
df06cdab-afc8-4965-9b10-c270b0cafedf,photo,animals,hate,5,74965
84a81261-6334-4ba5-978d-26a45d28a44f,audio,animals,peeking,35,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,scared,15,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,"super love",75,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,"super love",75,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,heart,60,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,"super love",75,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,"super love",75,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,"super love",75,74965
76898916-4024-4c32-909b-dd240879d76a,GIF,animals,scared,15,74965
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,photo,animals,love,65,74965
596a3ffe-1e2a-4999-bf8d-c8f4a8974343,video,animals,scared,15,74965
18cb1ce7-fb66-4a56-8042-e38c9593ade1,photo,animals,adore,72,74965
6ccf94b4-f549-4d17-a1d0-3bf7656bce81,video,animals,scared,15,74965
6ccf94b4-f549-4d17-a1d0-3bf7656bce81,video,animals,"super love",75,74965
6ccf94b4-f549-4d17-a1d0-3bf7656bce81,video,animals,"super love",75,74965
72878c11-38cc-4442-bc81-7eeef47c531c,GIF,animals,dislike,10,74965
72878c11-38cc-4442-bc81-7eeef47c531c,GIF,animals,dislike,10,74965
595037a5-5e9a-42f6-8f50-a55827dc41ac,video,animals,heart,60,74965
bb6c0257-5d4d-4bb8-be58-4bd7ebd9c337,video,animals,cherish,70,74965
596a3ffe-1e2a-4999-bf8d-c8f4a8974343,video,animals,intrigued,45,74965
596a3ffe-1e2a-4999-bf8d-c8f4a8974343,video,animals,want,70,74965
a861f7e7-b2f5-4d86-966c-7503c8faaeca,GIF,animals,cherish,70,74965
a861f7e7-b2f5-4d86-966c-7503c8faaeca,GIF,animals,cherish,70,74965
4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,photo,animals,peeking,35,74965
84a81261-6334-4ba5-978d-26a45d28a44f,audio,animals,peeking,35,74965
bb6c0257-5d4d-4bb8-be58-4bd7ebd9c337,video,animals,cherish,70,74965
bb6c0257-5d4d-4bb8-be58-4bd7ebd9c337,video,animals,cherish,70,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,heart,60,74965
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,photo,animals,peeking,35,74965
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,photo,animals,scared,15,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,intrigued,45,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,indifferent,20,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,heart,60,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,indifferent,20,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,indifferent,20,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,intrigued,45,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,intrigued,45,74965
59bb59ce-776b-4d28-85ee-c0d71c690b6a,audio,animals,indifferent,20,74965
6ccf94b4-f549-4d17-a1d0-3bf7656bce81,video,animals,want,70,74965
18cb1ce7-fb66-4a56-8042-e38c9593ade1,photo,animals,adore,72,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,cherish,70,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,cherish,70,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,hate,5,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,indifferent,20,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,cherish,70,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,cherish,70,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,cherish,70,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,interested,30,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,cherish,70,74965
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,photo,animals,intrigued,45,74965
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,photo,animals,intrigued,45,74965
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,photo,animals,intrigued,45,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,indifferent,20,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,disgust,0,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,indifferent,20,74965
942c5154-791e-47c0-bfad-264a3d6296eb,audio,animals,cherish,70,74965
daeddfcc-c030-4674-8317-56a23ab81799,audio,animals,dislike,10,74965
18cb1ce7-fb66-4a56-8042-e38c9593ade1,photo,animals,disgust,0,74965
18cb1ce7-fb66-4a56-8042-e38c9593ade1,photo,animals,adore,72,74965
5efb3710-c34d-4dc4-84dd-31cd8c5d9c30,audio,animals,intrigued,45,74965
5efb3710-c34d-4dc4-84dd-31cd8c5d9c30,audio,animals,peeking,35,74965
5efb3710-c34d-4dc4-84dd-31cd8c5d9c30,audio,animals,intrigued,45,74965
5efb3710-c34d-4dc4-84dd-31cd8c5d9c30,audio,animals,indifferent,20,74965
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,photo,animals,scared,15,74965
18cb1ce7-fb66-4a56-8042-e38c9593ade1,photo,animals,disgust,0,74965
89cb4504-fccd-40f4-945e-410f74ee4735,photo,animals,want,70,74965
72878c11-38cc-4442-bc81-7eeef47c531c,GIF,animals,dislike,10,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,cherish,70,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,love,65,74965
aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,photo,animals,peeking,35,74965
aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,photo,animals,like,50,74965
aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,photo,animals,like,50,74965
aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,photo,animals,cherish,70,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,love,65,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,love,65,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,heart,60,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,heart,60,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,love,65,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,cherish,70,74965
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,GIF,animals,heart,60,74965
89cb4504-fccd-40f4-945e-410f74ee4735,photo,animals,want,70,74965
daeddfcc-c030-4674-8317-56a23ab81799,audio,animals,dislike,10,74965
6b2db46f-f733-4b56-af09-0ed7bb232ed4,audio,animals,adore,72,74965
6b2db46f-f733-4b56-af09-0ed7bb232ed4,audio,animals,peeking,35,74965
